"cve","mean_counts_7","mean_counts_30","mean_counts_100","mean_counts_14"
"CVE-2018-12295",0.2857142857142857,2.333333333333333,1.38,1.0714285714285714
"CVE-2018-12426",0.0,0.0,0.0,0.0
"CVE-2018-1273",0.2857142857142857,1.2666666666666666,0.78,0.21428571428571427
"CVE-2018-12809",0.0,0.0,0.0,0.0
"CVE-2018-1327",0.0,0.0,0.0,0.0
"CVE-2018-1335",0.0,0.0,0.0,0.0
"CVE-2018-13379",131.14285714285714,151.4,82.87,135.78571428571428
"CVE-2018-13380",0.0,0.0,0.0,0.0
"CVE-2018-14485",3.7142857142857135,4.4,2.33,3.5714285714285716
"CVE-2018-14713",0.0,0.0,0.01,0.0
"CVE-2018-14728",0.2857142857142857,1.1333333333333333,0.76,0.35714285714285715
"CVE-2018-14839",0.2857142857142857,1.0666666666666669,0.75,0.2857142857142857
"CVE-2018-14847",0.0,0.0,0.0,0.0
"CVE-2018-15454",21.428571428571427,24.03333333333333,12.68,21.714285714285715
"CVE-2018-15811",0.0,0.0,0.15,0.0
"CVE-2018-15957",0.5714285714285714,0.4,0.23,0.7142857142857143
"CVE-2018-16341",0.2857142857142857,1.0666666666666669,0.62,0.42857142857142855
"CVE-2018-16763",0.0,0.3,0.18,0.14285714285714285
"CVE-2018-17246",7.142857142857143,25.666666666666668,13.51,10.214285714285714
"CVE-2018-17254",18.857142857142858,22.03333333333333,11.07,17.214285714285715
"CVE-2018-17431",0.0,0.3666666666666666,0.28,0.07142857142857142
"CVE-2018-18264",0.2857142857142857,0.5,0.27,0.2857142857142857
"CVE-2018-18755",0.4285714285714285,0.7333333333333333,0.31,1.1428571428571428
"CVE-2018-18809",0.0,0.2333333333333333,0.12,0.5
"CVE-2018-19127",0.0,0.1333333333333333,0.07,0.0
"CVE-2018-19276",86.14285714285714,103.73333333333332,53.33,76.57142857142857
"CVE-2018-19595",0.0,0.0666666666666666,0.02,0.0
"CVE-2018-19987",0.0,0.0,0.0,0.0
"CVE-2018-20062",236.7142857142857,161.2,55.82,222.71428571428572
"CVE-2018-2628",0.7142857142857143,0.1666666666666666,0.05,0.35714285714285715
"CVE-2018-2893",14.857142857142858,10.1,3.03,11.928571428571429
"CVE-2018-2894",0.0,0.0,0.0,0.0
"CVE-2018-3810",9.857142857142858,14.133333333333333,4.24,14.642857142857142
"CVE-2018-3948",0.0,0.0,0.0,0.0
"CVE-2018-5445",0.7142857142857143,4.6,2.71,2.142857142857143
"CVE-2018-5725",6.428571428571429,24.066666666666663,7.22,45.642857142857146
"CVE-2018-5981",0.7142857142857143,0.4,0.63,0.8571428571428571
"CVE-2018-5988",8.428571428571429,8.9,4.02,9.071428571428571
"CVE-2018-6008",0.0,0.2,0.14,0.07142857142857142
"CVE-2018-6581",3.571428571428572,5.366666666666666,2.45,4.071428571428571
"CVE-2018-6609",0.0,0.0,1.23,0.0
"CVE-2018-7034",0.0,0.0,0.0,0.0
"CVE-2018-7422",0.4285714285714285,1.5,0.98,0.5
"CVE-2018-7600",0.8571428571428571,1.4,0.88,0.6428571428571429
"CVE-2018-7921",0.0,0.0,0.0,0.0
"CVE-2018-8006",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2018-9206",0.0,0.0,0.0,0.0
"CVE-2018-9995",0.0,6.7,2.05,7.071428571428571
"CVE-2019-0232",0.5714285714285714,1.9333333333333331,1.03,1.7142857142857142
"CVE-2019-1003000",0.0,0.0,0.0,0.0
"CVE-2019-1003001",36.71428571428572,44.73333333333333,21.31,35.92857142857143
"CVE-2019-10068",0.4285714285714285,0.9666666666666668,0.76,0.35714285714285715
"CVE-2019-1010268",0.0,0.0,0.08,0.0
"CVE-2019-10173",0.0,0.0,0.0,0.0
"CVE-2019-10692",0.0,0.0,0.0,0.0
"CVE-2019-10720",6.285714285714286,6.366666666666666,2.85,6.928571428571429
"CVE-2019-10758",7.142857142857143,22.766666666666666,11.68,11.5
"CVE-2019-12276",0.4285714285714285,1.4666666666666666,0.97,0.5
"CVE-2019-12314",0.1428571428571428,0.4666666666666667,0.24,0.21428571428571427
"CVE-2019-12725",0.7142857142857143,1.2,0.8,0.7142857142857143
"CVE-2019-12985",0.5714285714285714,1.4,0.9,0.6428571428571429
"CVE-2019-13027",0.0,0.0,0.85,0.0
"CVE-2019-13978",0.0,0.0,0.0,0.0
"CVE-2019-15107",0.2857142857142857,1.0,0.7,0.21428571428571427
"CVE-2019-15846",0.0,0.0,0.0,0.0
"CVE-2019-16057",0.0,0.0,0.0,0.0
"CVE-2019-16097",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2019-16113",1.1428571428571428,3.0,2.11,1.2857142857142858
"CVE-2019-16278",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2019-16385",0.0,0.0,0.55,0.0
"CVE-2019-1653",24.285714285714285,124.16666666666669,59.08,54.142857142857146
"CVE-2019-16662",8.571428571428571,16.366666666666667,5.02,11.0
"CVE-2019-16759",7.571428571428571,1.7666666666666666,0.53,3.7857142857142856
"CVE-2019-16920",15.714285714285714,26.933333333333334,8.76,21.571428571428573
"CVE-2019-16997",8.857142857142858,20.6,10.24,13.142857142857142
"CVE-2019-17418",8.142857142857142,19.33333333333333,10.45,13.571428571428571
"CVE-2019-17621",0.0,0.0,0.01,0.0
"CVE-2019-17662",0.2857142857142857,1.5333333333333334,0.87,1.2142857142857142
"CVE-2019-18371",0.1428571428571428,0.2,0.14,0.07142857142857142
"CVE-2019-18935",0.0,0.0,0.0,0.0
"CVE-2019-19006",1.5714285714285714,0.5666666666666667,0.2,1.0
"CVE-2019-19781",56.142857142857146,90.06666666666666,41.17,56.142857142857146
"CVE-2019-19824",8.0,19.866666666666667,10.05,12.285714285714286
"CVE-2019-25065",0.0,0.0,0.0,0.0
"CVE-2019-2725",102.0,139.73333333333332,77.86,90.71428571428571
"CVE-2019-2729",0.0,0.6666666666666666,0.24,0.35714285714285715
"CVE-2019-3396",7.428571428571429,31.7,9.91,12.0
"CVE-2019-3924",0.0,0.0,0.0,0.0
"CVE-2019-3929",69.57142857142857,82.0,41.9,77.71428571428571
"CVE-2019-5418",518.2857142857143,603.3666666666667,318.77,599.6428571428571
"CVE-2019-6288",0.7142857142857143,1.0333333333333334,0.4,0.7857142857142857
"CVE-2019-6340",29.142857142857142,18.133333333333333,6.9,16.285714285714285
"CVE-2019-6714",0.0,0.0,0.0,0.0
"CVE-2019-7238",0.0,0.0,0.01,0.0
"CVE-2019-7256",28.428571428571427,41.73333333333333,20.59,29.857142857142858
"CVE-2019-7481",14.142857142857142,23.73333333333333,12.28,16.0
"CVE-2019-7816",0.7142857142857143,2.1666666666666665,1.47,0.7142857142857143
"CVE-2019-9053",0.0,0.0,0.0,0.0
"CVE-2019-9081",0.2857142857142857,0.2,0.09,0.21428571428571427
"CVE-2019-9670",288.7142857142857,264.53333333333336,109.01,285.42857142857144
"CVE-2019-9926",0.0,0.0,0.0,0.0
"CVE-2019-9978",2.571428571428572,49.23333333333333,22.11,9.928571428571429
"CVE-2020-0646",0.0,0.0,0.0,0.0
"CVE-2020-10148",47.142857142857146,53.266666666666666,15.98,47.5
"CVE-2020-10199",11.571428571428571,25.23333333333333,12.7,15.714285714285714
"CVE-2020-10204",0.0,1.1,0.44,0.5714285714285714
"CVE-2020-10546",8.857142857142858,12.333333333333334,3.97,11.142857142857142
"CVE-2020-10650",0.0,0.0,0.0,0.0
"CVE-2020-10672",0.0,0.0,0.0,0.0
"CVE-2020-10673",0.0,0.0,0.0,0.0
"CVE-2020-10826",117.71428571428572,118.56666666666666,90.98,108.21428571428571
"CVE-2020-10827",0.0,0.0,0.0,0.0
"CVE-2020-10828",0.0,0.0,0.0,0.0
"CVE-2020-11546",0.1428571428571428,1.1,0.72,0.07142857142857142
"CVE-2020-11738",0.0,0.0,0.0,0.0
"CVE-2020-11978",0.7142857142857143,2.1333333333333333,1.45,0.7142857142857143
"CVE-2020-11991",40.0,27.066666666666663,12.22,27.785714285714285
"CVE-2020-12255",1.7142857142857142,0.5666666666666667,0.17,1.2142857142857142
"CVE-2020-12800",0.0,0.0,0.32,0.0
"CVE-2020-13118",18.714285714285715,9.766666666666667,2.93,20.928571428571427
"CVE-2020-13167",0.0,0.4333333333333333,0.27,0.14285714285714285
"CVE-2020-13671",0.0,0.0,0.0,0.0
"CVE-2020-13756",0.0,0.0,0.0,0.0
"CVE-2020-13921",8.714285714285714,20.03333333333333,10.71,14.142857142857142
"CVE-2020-13937",0.0,0.0666666666666666,0.02,0.14285714285714285
"CVE-2020-13942",9.857142857142858,24.433333333333334,12.75,12.785714285714286
"CVE-2020-13957",0.0,0.0,0.0,0.0
"CVE-2020-14092",7.142857142857143,18.03333333333333,9.36,11.428571428571429
"CVE-2020-14181",0.0,2.8666666666666667,0.89,6.142857142857143
"CVE-2020-14750",1.1428571428571428,5.4,2.79,3.7142857142857144
"CVE-2020-14864",0.8571428571428571,2.2333333333333334,1.55,0.8571428571428571
"CVE-2020-14882",19.428571428571427,129.5,77.78,38.714285714285715
"CVE-2020-1504",0.0,0.0,0.0,0.0
"CVE-2020-15049",0.0,0.0,0.0,0.0
